millis,stamp,datetime,temp
9097999,1497834319,42905.04514,15.3
9098999,1497834320,42905.04514,15.3
9099999,1497834321,42905.04514,15.3
9100998,1497834322,42905.04514,15.3
9101999,1497834323,42905.04514,15.3
9102999,1497834324,42905.04514,15.3
9103998,1497834325,42905.04514,15.3
9105000,1497834326,42905.04514,15.3
9105999,1497834327,42905.04514,15.3
9107000,1497834328,42905.04514,15.3
9107999,1497834329,42905.04514,15.3
9108999,1497834330,42905.04514,15.3
9109999,1497834331,42905.04514,15.3
9110999,1497834332,42905.04514,15.3
9111999,1497834333,42905.04514,15.3
9112998,1497834334,42905.04514,15.3
9113999,1497834335,42905.04514,15.3
9114999,1497834336,42905.04514,15.3
9115999,1497834337,42905.04514,15.3
9116998,1497834338,42905.04514,15.3
9117999,1497834339,42905.04514,15.3
9118999,1497834340,42905.04514,15.3
9120000,1497834341,42905.04514,15.3
9121000,1497834342,42905.04514,15.3
9122000,1497834343,42905.04514,15.3
9123000,1497834344,42905.04514,15.3
9123998,1497834345,42905.04514,15.3
9124999,1497834346,42905.04514,15.3
9125999,1497834347,42905.04514,15.3
9126999,1497834348,42905.04514,15.3
9128000,1497834349,42905.04514,15.3
9128998,1497834350,42905.04514,15.3
9129999,1497834351,42905.04514,15.3
9130999,1497834352,42905.04514,15.3
9131999,1497834353,42905.04514,15.3
9132998,1497834354,42905.04514,15.3
9133999,1497834355,42905.04514,15.3
9134999,1497834356,42905.04514,15.3
9135998,1497834357,42905.04514,15.3
9136999,1497834358,42905.04514,15.3
9137999,1497834359,42905.04514,15.3
9138999,1497834360,42905.04583,15.3
9139999,1497834361,42905.04583,15.3
9140999,1497834362,42905.04583,15.3
9141998,1497834363,42905.04583,15.3
9143000,1497834364,42905.04583,15.3
9143999,1497834365,42905.04583,15.3
9144998,1497834366,42905.04583,15.3
9145999,1497834367,42905.04583,15.3
9146998,1497834368,42905.04583,15.3
9147999,1497834369,42905.04583,15.3
9148999,1497834370,42905.04583,15.3
9149999,1497834371,42905.04583,15.3
9151000,1497834372,42905.04583,15.3
9151998,1497834373,42905.04583,15.3
9153000,1497834374,42905.04583,15.3
9153999,1497834375,42905.04583,15.3
9155000,1497834376,42905.04583,15.3
9155999,1497834377,42905.04583,15.3
9156999,1497834378,42905.04583,15.3
9157998,1497834379,42905.04583,15.3
9158999,1497834380,42905.04583,15.3
9159999,1497834381,42905.04583,15.3
9160999,1497834382,42905.04583,15.3
9161999,1497834383,42905.04583,15.3
9162999,1497834384,42905.04583,15.3
9163999,1497834385,42905.04583,15.3
9164998,1497834386,42905.04583,15.3
9165999,1497834387,42905.04583,15.3
9166999,1497834388,42905.04583,15.3
9167998,1497834389,42905.04583,15.3
9168999,1497834390,42905.04583,15.3
9169999,1497834391,42905.04583,15.3
9170999,1497834392,42905.04583,15.3
9171999,1497834393,42905.04583,15.3
9172999,1497834394,42905.04583,15.3
9173998,1497834395,42905.04583,15.3
9175000,1497834396,42905.04583,15.3
9176000,1497834397,42905.04583,15.3
9176999,1497834398,42905.04583,15.3
9177999,1497834399,42905.04583,15.3
9178999,1497834400,42905.04583,15.3
9180000,1497834401,42905.04583,15.3
9180999,1497834402,42905.04583,15.3
9182000,1497834403,42905.04583,15.3
9183000,1497834404,42905.04583,15.3
9184000,1497834405,42905.04583,15.3
9185000,1497834406,42905.04583,15.3
9185998,1497834407,42905.04583,15.3
9186999,1497834408,42905.04583,15.3
9187999,1497834409,42905.04583,15.3
9188999,1497834410,42905.04583,15.3
9189998,1497834411,42905.04583,15.3
9190999,1497834412,42905.04583,15.3
9191999,1497834413,42905.04583,15.3
9192998,1497834414,42905.04583,15.3
9193999,1497834415,42905.04583,15.3
9194999,1497834416,42905.04583,15.3
9195999,1497834417,42905.04583,15.3
9196999,1497834418,42905.04583,15.3
9197999,1497834419,42905.04583,15.3
9199000,1497834420,42905.04653,15.3
9199998,1497834421,42905.04653,15.3
9200999,1497834422,42905.04653,15.3
9201999,1497834423,42905.04653,15.3
9202999,1497834424,42905.04653,15.3
9203998,1497834425,42905.04653,15.3
9204999,1497834426,42905.04653,15.3
9205998,1497834427,42905.04653,15.3
9206999,1497834428,42905.04653,15.3
9207999,1497834429,42905.04653,15.3
9208999,1497834430,42905.04653,15.3
9209999,1497834431,42905.04653,15.3
9210999,1497834432,42905.04653,15.3
9211999,1497834433,42905.04653,15.3
9212999,1497834434,42905.04653,15.3
9214000,1497834435,42905.04653,15.3
9214999,1497834436,42905.04653,15.3
9216000,1497834437,42905.04653,15.3
9216999,1497834438,42905.04653,15.3
9217999,1497834439,42905.04653,15.3
9218999,1497834440,42905.04653,15.3
9219998,1497834442,42905.04653,15.3
9220999,1497834443,42905.04653,15.3
9221998,1497834444,42905.04653,15.3
9222999,1497834445,42905.04653,15.3
9223999,1497834446,42905.04653,15.3
9224998,1497834447,42905.04653,15.3
9225999,1497834448,42905.04653,15.3
9226999,1497834449,42905.04653,15.3
9227999,1497834450,42905.04653,15.3
9228998,1497834451,42905.04653,15.3
9229999,1497834452,42905.04653,15.3
9230998,1497834453,42905.04653,15.3
9231998,1497834454,42905.04653,15.3
9232999,1497834455,42905.04653,15.3
9233999,1497834456,42905.04653,15.3
9234999,1497834457,42905.04653,15.3
9235999,1497834458,42905.04653,15.3
9236999,1497834459,42905.04653,15.3
9237998,1497834460,42905.04653,15.3
9238999,1497834461,42905.04653,15.3
9239999,1497834462,42905.04653,15.3
9240998,1497834463,42905.04653,15.3
9242000,1497834464,42905.04653,15.3
9242999,1497834465,42905.04653,15.3
9243999,1497834466,42905.04653,15.3
9244999,1497834467,42905.04653,15.3
9246000,1497834468,42905.04653,15.3
9247000,1497834469,42905.04653,15.3
9247998,1497834470,42905.04653,15.3
9249000,1497834471,42905.04653,15.3
9249999,1497834472,42905.04653,15.3
