stamp,datetime,humidity,temperature
"1497825671","42904.94527","64.0","18.4"
"1497825672","42904.94528","64.0","18.4"
"1497825673","42904.94529","63.9","18.3"
"1497825674","42904.9453","63.9","18.3"
"1497825675","42904.94531","63.9","18.3"
"1497825676","42904.94532","63.9","18.3"
"1497825677","42904.94534","63.9","18.3"
"1497825678","42904.94535","63.9","18.3"
"1497825679","42904.94536","63.9","18.3"
"1497825680","42904.94537","63.9","18.3"
"1497825681","42904.94538","63.9","18.3"
"1497825682","42904.94539","63.9","18.3"
"1497825683","42904.94541","63.9","18.3"
"1497825684","42904.94542","63.9","18.3"
"1497825685","42904.94543","63.9","18.3"
"1497825686","42904.94544","63.9","18.3"
"1497825687","42904.94545","63.9","18.3"
"1497825688","42904.94546","63.9","18.3"
"1497825689","42904.94547","63.9","18.3"
"1497825690","42904.94549","63.9","18.3"
"1497825691","42904.9455","63.9","18.3"
"1497825692","42904.94551","63.9","18.3"
"1497825693","42904.94552","63.9","18.3"
"1497825694","42904.94553","64.0","18.3"
"1497825695","42904.94554","64.0","18.3"
"1497825696","42904.94556","64.0","18.3"
"1497825697","42904.94557","64.0","18.3"
"1497825698","42904.94558","64.0","18.3"
"1497825699","42904.94559","64.0","18.3"
"1497825700","42904.9456","64.0","18.3"
"1497825701","42904.94561","64.0","18.3"
"1497825702","42904.94563","64.0","18.3"
"1497825703","42904.94564","64.0","18.3"
"1497825704","42904.94565","64.0","18.3"
"1497825705","42904.94566","64.0","18.3"
"1497825706","42904.94567","64.0","18.3"
"1497825707","42904.94568","64.0","18.3"
"1497825708","42904.94569","64.1","18.3"
"1497825709","42904.94571","64.1","18.3"
"1497825710","42904.94572","64.1","18.3"
"1497825711","42904.94573","64.1","18.3"
"1497825712","42904.94574","64.1","18.3"
"1497825713","42904.94575","64.1","18.3"
"1497825714","42904.94576","64.1","18.3"
"1497825715","42904.94578","64.1","18.3"
"1497825716","42904.94579","64.1","18.3"
"1497825717","42904.9458","64.1","18.3"
"1497825718","42904.94581","64.1","18.3"
"1497825719","42904.94582","64.1","18.3"
"1497825720","42904.94583","64.1","18.3"
"1497825721","42904.94584","64.1","18.3"
"1497825722","42904.94586","64.1","18.3"
"1497825723","42904.94587","64.2","18.3"
"1497825724","42904.94588","64.2","18.3"
"1497825725","42904.94589","64.2","18.3"
"1497825726","42904.9459","64.2","18.3"
"1497825727","42904.94591","64.2","18.3"
"1497825728","42904.94593","64.2","18.3"
"1497825729","42904.94594","64.2","18.3"
"1497825730","42904.94595","64.2","18.3"
"1497825731","42904.94596","64.2","18.3"
"1497825732","42904.94597","64.2","18.3"
"1497825733","42904.94598","64.2","18.3"
"1497825734","42904.946","64.2","18.3"
"1497825735","42904.94601","64.2","18.3"
"1497825736","42904.94602","64.2","18.3"
"1497825737","42904.94603","64.2","18.3"
"1497825738","42904.94604","64.2","18.3"
"1497825739","42904.94605","64.2","18.3"
"1497825740","42904.94606","64.2","18.3"
"1497825741","42904.94608","64.2","18.3"
"1497825742","42904.94609","64.2","18.3"
"1497825743","42904.9461","64.1","18.2"
"1497825744","42904.94611","64.1","18.2"
"1497825745","42904.94612","64.1","18.2"
"1497825746","42904.94613","64.1","18.2"
"1497825747","42904.94615","64.1","18.2"
"1497825748","42904.94616","64.1","18.2"
"1497825749","42904.94617","64.2","18.2"
"1497825750","42904.94618","64.2","18.2"
"1497825751","42904.94619","64.2","18.2"
"1497825752","42904.9462","64.2","18.2"
"1497825753","42904.94622","64.2","18.2"
"1497825754","42904.94623","64.2","18.2"
"1497825755","42904.94624","64.2","18.2"
"1497825756","42904.94625","64.2","18.2"
"1497825757","42904.94626","64.2","18.2"
"1497825758","42904.94627","64.2","18.2"
"1497825759","42904.94628","64.2","18.2"
"1497825760","42904.9463","64.2","18.2"
"1497825761","42904.94631","64.2","18.2"
"1497825762","42904.94632","64.2","18.2"
"1497825763","42904.94633","64.3","18.2"
"1497825764","42904.94634","64.3","18.2"
"1497825765","42904.94635","64.3","18.2"
"1497825766","42904.94637","64.3","18.2"
"1497825767","42904.94638","64.3","18.2"
"1497825768","42904.94639","64.3","18.2"
"1497825769","42904.9464","64.3","18.2"
"1497825770","42904.94641","64.3","18.2"
"1497825771","42904.94642","64.3","18.2"
"1497825772","42904.94644","64.4","18.2"
